grid,laps,year,round,lat,lng,alt,position_quali,q1,q2,q3,points_driver_standing,position_driver_standing,wins,points_team_standing,position_team_standing,wins_team_standing,podium,age_at_race
17,56,2008,3,26.0325,50.5106,7,17.0,93.43299999999999,0.0,0.0,0.0,13.0,0.0,4.0,7.0,0.0,0,37.02943189596167
20,56,2008,3,26.0325,50.5106,7,20.0,93.845,0.0,0.0,0.0,21.0,0.0,0.0,10.0,0.0,0,25.234770704996578
14,40,2008,3,26.0325,50.5106,7,14.0,92.975,92.78999999999999,0.0,0.0,17.0,0.0,6.0,6.0,0.0,0,22.699520876112253
9,19,2008,3,26.0325,50.5106,7,9.0,92.793,92.362,95.057,0.0,15.0,0.0,0.0,9.0,0.0,0,28.213552361396303
19,0,2008,3,26.0325,50.5106,7,19.0,93.562,0.0,0.0,3.0,13.0,0.0,2.0,8.0,0.0,0,20.761122518822724
1,66,2008,4,41.57,2.26111,109,1.0,80.701,80.78399999999999,81.813,29.0,1.0,2.0,47.0,1.0,3.0,1,28.528405201916495
3,66,2008,4,41.57,2.26111,109,3.0,81.52799999999999,80.584,82.05799999999999,18.0,4.0,1.0,47.0,1.0,3.0,1,27.006160164271048
5,66,2008,4,41.57,2.26111,109,5.0,81.366,80.825,82.096,20.0,2.0,1.0,34.0,3.0,1.0,1,23.301848049281315
4,66,2008,4,41.57,2.26111,109,4.0,81.423,80.59700000000001,82.065,19.0,3.0,0.0,35.0,2.0,0.0,0,23.38672142368241
7,66,2008,4,41.57,2.26111,109,7.0,81.494,80.98400000000001,82.429,8.0,8.0,0.0,8.0,6.0,0.0,0,31.665982203969882
13,66,2008,4,41.57,2.26111,109,13.0,81.757,81.211,0.0,3.0,12.0,0.0,3.0,8.0,0.0,0,28.27104722792608
12,66,2008,4,41.57,2.26111,109,12.0,81.69,81.117,0.0,5.0,11.0,0.0,12.0,4.0,0.0,0,23.290896646132786
8,66,2008,4,41.57,2.26111,109,8.0,81.158,80.907,82.529,9.0,7.0,0.0,9.0,5.0,0.0,0,33.790554414784395
9,66,2008,4,41.57,2.26111,109,9.0,81.46600000000001,80.815,82.542,16.0,5.0,0.0,35.0,2.0,0.0,0,30.965092402464066
19,65,2008,4,41.57,2.26111,109,19.0,82.51599999999999,0.0,0.0,0.0,16.0,0.0,0.0,10.0,0.0,0,35.28268309377139
14,65,2008,4,41.57,2.26111,109,14.0,81.42699999999999,81.23,0.0,0.0,14.0,0.0,9.0,5.0,0.0,0,26.11088295687885
17,65,2008,4,41.57,2.26111,109,17.0,81.81,0.0,0.0,0.0,15.0,0.0,8.0,6.0,0.0,0,37.086926762491444
